keyword,avg_monthly_searches,searches_past_months
ai podcaster,6600,"[390, 590, 480, 880, 590, 720, 1000, 1300, 1600, 2900, 2900, 2900, 2900, 1900, 1900, 1900, 1900, 1900, 2400, 1900, 2400, 2900, 2400, 2400, 1900, 1900, 3600, 12100, 6600, 9900, 8100, 8100, 8100, 8100, 8100, 6600, 5400, 5400, 6600, 8100, 6600, 8100, 6600, 5400, 5400, 5400, 5400, 3600]"
ai tutor,6600,"[110, 140, 170, 210, 210, 320, 590, 590, 1300, 1300, 1900, 1300, 1600, 1600, 2400, 2900, 2900, 2900, 2900, 3600, 3600, 4400, 4400, 2900, 2400, 2900, 4400, 6600, 5400, 4400, 5400, 9900, 8100, 8100, 6600, 3600, 3600, 4400, 8100, 9900, 8100, 8100, 9900, 12100, 8100, 6600, 6600, 3600]"
ai accountant,6600,"[480, 880, 880, 880, 880, 1000, 1600, 1900, 2900, 4400, 5400, 3600, 3600, 3600, 4400, 5400, 5400, 4400, 4400, 6600, 6600, 8100, 5400, 4400, 4400, 3600, 5400, 8100, 8100, 6600, 8100, 9900, 9900, 9900, 8100, 6600, 6600, 6600, 9900, 8100, 6600, 5400, 5400, 8100, 9900, 6600, 6600, 5400]"
context engineer,6600,"[40, 70, 90, 50, 70, 50, 50, 70, 50, 70, 50, 90, 70, 70, 110, 90, 90, 70, 70, 90, 110, 50, 70, 70, 50, 70, 90, 90, 70, 70, 90, 70, 110, 110, 90, 1600, 14800, 8100, 6600, 6600, 4400, 3600, 4400, 4400, 5400, 5400, 4400, 3600]"
ai artist,5400,"[1600, 4400, 5400, 3600, 2400, 5400, 3600, 2900, 2900, 4400, 3600, 2900, 3600, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 1900, 1900, 1600, 1600, 1900, 2400, 1900, 1600, 1600, 1600, 2400, 2900, 2400, 2900, 2400, 1900, 6600, 5400, 12100, 5400, 6600, 5400, 4400, 4400, 4400, 2900]"
ai actor,5400,"[320, 320, 720, 390, 320, 480, 590, 720, 720, 880, 1000, 590, 3600, 1300, 1000, 1300, 1300, 880, 880, 720, 880, 880, 1000, 720, 590, 1000, 720, 880, 720, 880, 880, 880, 720, 880, 880, 720, 720, 720, 5400, 22200, 5400, 4400, 3600, 2900, 3600, 2400, 2900, 1900]"
ai trainer,4400,"[70, 110, 90, 140, 140, 210, 320, 320, 390, 480, 720, 720, 720, 590, 590, 720, 720, 720, 1000, 1300, 1600, 1600, 1600, 1900, 1600, 1300, 1300, 1300, 1900, 1600, 2400, 2900, 2900, 2900, 2900, 2900, 2900, 2900, 2400, 2400, 2900, 2900, 4400, 3600, 8100, 8100, 6600, 4400]"
ai prompt engineer,4400,"[20, 50, 90, 70, 70, 170, 720, 1600, 4400, 9900, 8100, 6600, 6600, 5400, 4400, 3600, 3600, 3600, 3600, 3600, 5400, 3600, 3600, 3600, 2900, 2900, 2900, 18100, 6600, 3600, 5400, 5400, 5400, 9900, 6600, 6600, 6600, 6600, 5400, 5400, 5400, 4400, 4400, 4400, 4400, 5400, 3600, 2900]"
ai architect,4400,"[590, 880, 1000, 880, 880, 1300, 1600, 1600, 1900, 2400, 2900, 1900, 2400, 2400, 2400, 2400, 2400, 1900, 2900, 2900, 2900, 3600, 2900, 2400, 2400, 1900, 2400, 2400, 1900, 1900, 2900, 2900, 2900, 2900, 2900, 2900, 3600, 3600, 3600, 3600, 2900, 8100, 3600, 3600, 4400, 4400, 3600, 3600]"
ai product manager,3600,"[260, 320, 320, 320, 320, 320, 590, 720, 720, 880, 1300, 1000, 2900, 2900, 1900, 1900, 1900, 1600, 2400, 2400, 2400, 2400, 2400, 1900, 1900, 1600, 2400, 2400, 1900, 1900, 2900, 2900, 2900, 2900, 3600, 3600, 3600, 4400, 4400, 4400, 3600, 2900, 3600, 3600, 4400, 3600, 2900, 2400]"
ai project manager,3600,"[260, 260, 260, 320, 390, 480, 880, 1000, 1300, 1900, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2400, 2900, 2900, 2900, 2900, 2900, 2900, 2400, 2400, 2900, 2900, 2400, 2400, 3600, 4400, 4400, 4400, 4400, 4400, 4400, 3600, 4400, 4400, 3600, 2900, 2900, 3600, 4400, 3600, 2900, 2900]"
ai developer,2400,"[480, 590, 480, 480, 590, 720, 1300, 1000, 1300, 1600, 1900, 1600, 1300, 1600, 1600, 1600, 1600, 1600, 1900, 1900, 3600, 2900, 2400, 4400, 1900, 1900, 1900, 1900, 1900, 2400, 3600, 2900, 3600, 3600, 3600, 2900, 2900, 2900, 3600, 2400, 2400, 1900, 1900, 1900, 3600, 2400, 2400, 1900]"
ai research assistant,2400,"[50, 50, 50, 70, 90, 110, 210, 260, 320, 480, 390, 320, 320, 390, 390, 390, 480, 480, 480, 590, 720, 720, 880, 880, 590, 590, 1900, 1900, 1600, 1600, 1300, 1300, 1600, 1300, 1300, 1900, 8100, 1600, 2400, 3600, 5400, 1900, 1300, 1000, 1300, 880, 1000, 1600]"
ai nurse,2400,"[210, 210, 320, 320, 320, 260, 390, 590, 720, 1000, 1000, 1000, 1000, 1000, 1300, 1300, 1300, 1000, 1300, 1600, 4400, 3600, 1900, 1900, 1600, 1600, 1900, 2400, 2400, 1900, 3600, 2900, 5400, 2900, 2400, 1900, 1900, 1900, 2900, 2900, 2900, 1900, 2400, 2900, 2900, 2900, 2400, 1600]"
ai scientist,1900,"[260, 320, 320, 320, 320, 320, 390, 480, 590, 590, 720, 480, 480, 590, 720, 720, 720, 720, 880, 880, 1000, 1000, 1000, 720, 720, 3600, 2400, 1600, 1300, 1300, 1600, 1900, 2400, 2400, 2400, 1300, 1600, 1600, 2400, 2400, 1900, 1600, 1900, 1600, 1900, 1900, 1600, 1300]"
ai rater,1900,"[880, 880, 1000, 1000, 720, 720, 1000, 720, 1000, 1300, 1000, 1000, 1000, 880, 1000, 1000, 1000, 1000, 1000, 1600, 1300, 1600, 1300, 1300, 880, 1000, 1300, 1300, 1000, 1300, 1000, 1300, 1600, 1900, 1900, 1600, 1600, 1600, 1900, 2400, 1900, 1900, 1900, 1600, 2900, 2400, 1900, 1600]"
ai ml engineer,1900,"[90, 110, 90, 110, 90, 110, 170, 140, 210, 210, 260, 260, 210, 320, 320, 390, 320, 320, 390, 390, 390, 480, 720, 1600, 590, 590, 720, 720, 720, 720, 880, 1000, 1300, 1600, 1900, 1900, 1900, 1900, 1600, 1600, 1300, 1600, 1900, 1600, 1900, 1900, 2400, 1900]"
ai web developer,1900,"[110, 170, 170, 210, 210, 1000, 1600, 1600, 1900, 2400, 2400, 2400, 1900, 1900, 1600, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 2400, 1900, 1900, 1600, 1600, 1600, 2400, 1900, 2400, 1900, 2400, 2400, 1900, 1900, 1600, 1600, 1900, 5400, 1600, 1300, 1300, 1300, 1600, 1600, 1300, 1300]"
ai software engineer,1600,"[170, 170, 170, 210, 140, 210, 320, 320, 320, 390, 480, 480, 390, 390, 390, 390, 480, 480, 720, 720, 8100, 2900, 1900, 1300, 1000, 1300, 1300, 1600, 1000, 1000, 1300, 1000, 1300, 1300, 1300, 1000, 1300, 1600, 1900, 1600, 1300, 1000, 1600, 1900, 2400, 1600, 1600, 1300]"
ai copywriter,1600,"[1900, 2400, 2400, 2400, 2900, 4400, 5400, 4400, 3600, 2900, 2400, 1900, 1600, 1300, 1300, 1300, 1300, 1000, 1300, 1000, 1300, 1300, 1000, 880, 880, 880, 880, 1600, 3600, 1000, 1300, 1000, 1900, 2400, 1900, 1900, 2400, 4400, 5400, 2900, 1300, 720, 480, 480, 880, 390, 320, 320]"
ai coach,1600,"[140, 170, 170, 170, 170, 210, 390, 590, 880, 880, 880, 720, 880, 720, 880, 880, 880, 720, 1300, 1000, 1000, 1000, 1000, 880, 880, 880, 880, 1000, 1000, 880, 1300, 1300, 1300, 1300, 1600, 1300, 1300, 1300, 1900, 1600, 1600, 1300, 2400, 1600, 2400, 2400, 1900, 1600]"
ai content creator,1600,"[110, 210, 110, 140, 140, 210, 480, 390, 480, 590, 880, 880, 880, 880, 880, 1000, 880, 880, 1000, 880, 880, 1000, 880, 880, 880, 880, 1000, 1000, 14800, 3600, 4400, 1600, 1600, 1600, 1600, 1900, 1600, 1600, 1600, 1600, 1900, 1600, 1600, 1600, 1600, 1300, 1300, 1300]"
ai strategist,1600,"[210, 320, 260, 390, 210, 210, 260, 320, 390, 590, 590, 590, 720, 720, 880, 880, 880, 720, 880, 880, 1000, 1000, 1300, 1000, 1000, 1000, 1000, 1000, 1300, 1000, 1600, 1300, 1900, 1900, 1900, 1900, 1600, 1300, 1600, 1300, 1000, 1000, 1600, 1300, 2400, 1600, 1600, 1300]"
ai manager,1300,"[170, 260, 260, 260, 260, 260, 390, 480, 480, 590, 590, 590, 880, 590, 720, 590, 720, 720, 720, 880, 1000, 1000, 1000, 880, 720, 720, 720, 1000, 1000, 1300, 1300, 1300, 1900, 1600, 1600, 1600, 1600, 1000, 1300, 1600, 1600, 880, 1000, 1300, 1600, 1300, 1000, 880]"
chief ai officer,1300,"[70, 70, 70, 70, 70, 70, 90, 170, 260, 320, 390, 590, 480, 480, 480, 590, 1000, 880, 1000, 1300, 1600, 1600, 1300, 1000, 1000, 1000, 880, 1000, 880, 720, 1300, 1300, 1300, 1600, 1900, 1300, 1600, 1600, 1600, 1300, 1000, 880, 1300, 1300, 1900, 1600, 1600, 1600]"
ai specialist,1300,"[210, 480, 210, 210, 210, 210, 320, 260, 320, 390, 590, 480, 720, 720, 480, 480, 480, 480, 1000, 720, 720, 880, 720, 590, 590, 590, 1300, 1000, 1000, 1300, 1600, 1300, 1000, 1300, 1300, 1000, 1000, 1300, 1300, 1300, 1000, 1000, 1300, 1300, 1300, 1600, 1600, 720]"
ai auditor,1300,"[320, 590, 390, 390, 480, 260, 480, 590, 590, 720, 720, 720, 880, 720, 880, 1000, 1000, 720, 880, 880, 1000, 1000, 880, 880, 720, 720, 880, 880, 1000, 880, 1000, 1000, 1300, 1300, 1300, 1300, 1300, 1300, 1600, 1300, 1300, 1000, 1000, 1300, 2400, 1600, 1600, 1000]"
ai researcher,1300,"[210, 260, 210, 210, 170, 210, 260, 320, 390, 480, 480, 320, 320, 390, 390, 480, 590, 590, 720, 590, 880, 720, 590, 590, 480, 590, 720, 720, 720, 720, 880, 1000, 1000, 1000, 1000, 1300, 1900, 2900, 1900, 1600, 1000, 880, 1000, 1000, 1300, 1000, 880, 720]"
ai illustrator,1000,"[590, 880, 1000, 1000, 880, 1900, 1900, 1900, 1900, 1900, 1900, 1600, 1600, 1600, 1600, 2400, 2400, 1900, 2400, 2400, 1900, 1900, 1900, 1600, 1300, 1600, 1900, 1900, 1900, 1600, 1900, 1600, 1600, 1900, 1600, 1000, 1000, 1000, 1600, 1300, 1000, 880, 1000, 1000, 1000, 1000, 880, 720]"
ai annotator,1000,"[40, 50, 50, 70, 50, 50, 140, 110, 170, 170, 170, 320, 320, 320, 1600, 880, 590, 390, 720, 720, 590, 720, 720, 590, 480, 720, 1300, 1000, 1600, 1300, 1900, 1000, 1000, 1300, 1000, 720, 720, 1000, 1900, 1300, 1000, 1000, 1300, 1000, 1300, 1300, 1000, 1000]"
ai evaluator,1000,"[10, 10, 10, 20, 30, 20, 40, 50, 50, 50, 50, 70, 90, 70, 110, 90, 90, 110, 110, 170, 210, 260, 320, 320, 260, 210, 260, 320, 320, 320, 390, 480, 480, 590, 590, 480, 590, 590, 1000, 1300, 1000, 880, 1000, 880, 1000, 1000, 1000, 1000]"
ai research scientist,880,"[90, 110, 90, 110, 90, 110, 170, 90, 170, 170, 170, 170, 210, 260, 590, 320, 480, 320, 390, 320, 390, 390, 720, 390, 480, 480, 480, 390, 480, 390, 590, 390, 590, 720, 720, 720, 880, 1300, 1000, 880, 880, 720, 720, 720, 720, 590, 590, 390]"
llm architect,880,"[0, 10, 10, 10, 10, 20, 30, 90, 260, 390, 480, 590, 590, 720, 720, 720, 720, 720, 880, 880, 880, 880, 1000, 880, 720, 880, 880, 880, 720, 720, 1000, 1000, 1000, 880, 1000, 880, 1000, 880, 880, 880, 720, 720, 880, 1000, 1000, 1000, 880, 880]"
ai strategy consultant,880,"[40, 50, 30, 20, 30, 30, 20, 30, 40, 50, 70, 70, 50, 50, 50, 70, 70, 140, 110, 170, 210, 210, 170, 140, 110, 170, 170, 260, 480, 390, 590, 480, 590, 720, 1000, 880, 880, 880, 1900, 1000, 390, 480, 1000, 590, 1000, 590, 880, 590]"
ai director,880,"[170, 170, 110, 170, 140, 260, 480, 590, 590, 880, 880, 720, 880, 590, 590, 590, 590, 590, 720, 720, 720, 590, 590, 590, 590, 590, 1000, 880, 720, 880, 720, 880, 880, 1000, 1000, 720, 720, 720, 1300, 1600, 1300, 880, 880, 880, 1300, 880, 720, 480]"
ai analyst,720,"[70, 70, 70, 70, 70, 90, 170, 140, 140, 170, 210, 320, 260, 260, 210, 210, 320, 210, 260, 390, 390, 390, 390, 320, 390, 390, 320, 590, 390, 320, 480, 590, 480, 590, 590, 590, 720, 590, 880, 590, 480, 590, 590, 590, 720, 720, 720, 880]"
ai data analyst,720,"[40, 40, 30, 50, 50, 70, 70, 70, 140, 170, 140, 170, 170, 260, 210, 170, 170, 140, 210, 210, 260, 320, 320, 260, 260, 320, 260, 320, 260, 320, 390, 390, 480, 480, 590, 480, 590, 480, 590, 880, 590, 390, 480, 480, 590, 590, 590, 1600]"
applied ai engineer,720,"[10, 10, 10, 10, 10, 20, 10, 10, 40, 40, 30, 30, 20, 30, 20, 30, 50, 40, 30, 50, 70, 90, 50, 50, 50, 70, 110, 110, 110, 110, 140, 110, 170, 210, 170, 210, 320, 480, 390, 320, 260, 320, 590, 720, 1000, 1000, 1300, 1000]"
ai web designer,720,"[10, 20, 10, 20, 30, 110, 170, 170, 260, 390, 480, 480, 390, 390, 320, 320, 390, 390, 390, 480, 480, 480, 480, 390, 480, 480, 1600, 3600, 590, 480, 720, 720, 880, 880, 720, 720, 880, 720, 720, 1300, 720, 590, 720, 590, 720, 720, 590, 480]"
ai sre,720,"[10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 10, 70, 70, 40, 90, 70, 140, 140, 170, 140, 140, 260, 210, 210, 260, 320, 320, 480, 480, 590, 590, 590, 720, 720, 880, 1000, 880, 720, 720]"
agentic ai architect,720,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 90, 170, 260, 320, 390, 720, 720, 880, 880, 880, 1000, 1000, 880, 880, 880, 720, 480, 590, 720, 880, 880, 880, 590]"
ai agent architect,720,"[10, 0, 10, 10, 10, 10, 10, 20, 10, 20, 20, 10, 20, 30, 40, 50, 40, 70, 90, 70, 140, 210, 320, 260, 210, 320, 260, 390, 390, 590, 880, 880, 720, 880, 880, 1000, 880, 720, 720, 720, 480, 390, 480, 720, 1300, 880, 880, 590]"
ai ux designer,720,"[210, 210, 260, 260, 210, 260, 480, 480, 720, 720, 880, 720, 720, 720, 720, 720, 720, 590, 880, 720, 720, 880, 720, 590, 590, 480, 590, 590, 480, 480, 880, 880, 1000, 1000, 1000, 880, 1000, 880, 880, 880, 720, 590, 720, 590, 720, 590, 480, 390]"
ai solutions architect,720,"[20, 30, 30, 20, 30, 20, 30, 40, 50, 70, 70, 110, 70, 110, 110, 110, 140, 140, 480, 480, 320, 390, 480, 390, 320, 480, 480, 480, 390, 390, 590, 480, 480, 590, 720, 590, 720, 720, 1000, 880, 590, 590, 590, 720, 880, 880, 880, 880]"
ai security engineer,590,"[10, 20, 10, 10, 10, 10, 20, 10, 40, 30, 30, 30, 40, 20, 50, 30, 40, 40, 70, 90, 90, 90, 140, 90, 110, 140, 110, 260, 90, 110, 210, 210, 260, 210, 260, 260, 320, 320, 320, 390, 390, 480, 590, 590, 880, 720, 880, 880]"
ai automation engineer,590,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 20, 20, 10, 10, 10, 10, 20, 20, 10, 30, 20, 20, 10, 10, 30, 20, 30, 50, 70, 90, 110, 110, 880, 1600, 590, 480, 590, 390, 320, 480, 390, 480, 480, 480, 480]"
ai real estate agent,590,"[10, 10, 10, 10, 10, 10, 40, 50, 70, 90, 110, 90, 70, 70, 140, 90, 110, 140, 140, 170, 390, 390, 320, 320, 210, 320, 320, 260, 210, 320, 390, 720, 1300, 880, 720, 590, 590, 480, 720, 390, 390, 390, 480, 590, 880, 590, 590, 590]"
ai producer,590,"[40, 50, 50, 40, 90, 90, 140, 170, 110, 140, 260, 210, 140, 140, 140, 110, 110, 110, 140, 140, 140, 210, 210, 140, 140, 140, 140, 140, 140, 110, 170, 170, 170, 210, 260, 260, 170, 260, 880, 880, 880, 880, 720, 590, 720, 720, 590, 480]"
ai whisperer,480,"[20, 10, 110, 210, 90, 140, 210, 880, 2900, 1900, 880, 590, 480, 320, 320, 320, 320, 390, 390, 390, 320, 320, 320, 260, 260, 260, 320, 390, 320, 260, 480, 390, 390, 320, 480, 390, 390, 480, 480, 480, 390, 880, 390, 480, 590, 720, 480, 390]"
ai automation specialist,480,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 40, 30, 30, 40, 30, 50, 40, 50, 50, 40, 70, 70, 70, 140, 70, 210, 390, 590, 320, 260, 320, 480, 590, 590, 590, 590, 590, 480]"
ai content writer,480,"[720, 1600, 1300, 1000, 2400, 2400, 2400, 1600, 1600, 1300, 1600, 1000, 1300, 1300, 2400, 2400, 2900, 1600, 2400, 1900, 1900, 2400, 2400, 1900, 2400, 2400, 5400, 9900, 1600, 1900, 1900, 1300, 1600, 1600, 1300, 1300, 880, 720, 1000, 480, 210, 260, 260, 390, 720, 590, 480, 260]"
ai life coach,480,"[40, 40, 40, 50, 50, 70, 170, 140, 210, 260, 390, 320, 320, 590, 390, 390, 390, 390, 480, 320, 390, 390, 480, 390, 390, 320, 390, 480, 590, 480, 480, 480, 590, 480, 590, 590, 590, 480, 480, 590, 590, 390, 480, 390, 390, 320, 320, 320]"
ai fitness coach,480,"[10, 10, 10, 10, 20, 20, 30, 30, 50, 90, 170, 70, 140, 110, 110, 170, 140, 170, 210, 170, 260, 260, 320, 320, 260, 260, 320, 390, 390, 390, 390, 390, 390, 480, 480, 590, 590, 480, 390, 320, 320, 390, 590, 390, 590, 480, 480, 480]"
ai voice actor,480,"[210, 140, 260, 260, 210, 320, 390, 720, 590, 720, 880, 720, 880, 720, 590, 590, 590, 590, 720, 480, 590, 590, 590, 590, 480, 480, 480, 720, 880, 590, 590, 590, 720, 590, 720, 590, 590, 480, 480, 590, 590, 590, 480, 480, 590, 480, 480, 320]"
ai color grader,480,"[40, 50, 50, 70, 70, 140, 170, 260, 320, 390, 480, 480, 390, 390, 320, 390, 390, 390, 390, 390, 390, 390, 390, 390, 390, 320, 320, 390, 390, 390, 390, 390, 480, 480, 480, 480, 480, 480, 390, 390, 390, 390, 480, 480, 590, 720, 720, 590]"
llm engineer,480,"[10, 10, 10, 10, 10, 20, 20, 30, 70, 140, 170, 140, 210, 170, 210, 210, 260, 210, 320, 320, 320, 320, 260, 880, 590, 590, 480, 590, 390, 480, 590, 480, 590, 480, 480, 480, 480, 590, 590, 590, 480, 260, 390, 480, 390, 390, 390, 320]"
ai graphic designer,390,"[40, 50, 30, 30, 50, 110, 210, 210, 320, 480, 590, 390, 390, 480, 390, 390, 320, 390, 480, 480, 480, 480, 480, 480, 480, 480, 480, 590, 480, 480, 590, 590, 590, 480, 480, 480, 390, 390, 390, 480, 390, 390, 390, 390, 390, 390, 260, 210]"
ai penetration tester,390,"[10, 30, 20, 30, 40, 30, 30, 30, 50, 70, 110, 90, 70, 110, 110, 110, 140, 90, 110, 110, 170, 210, 210, 110, 110, 140, 170, 210, 170, 170, 320, 260, 320, 480, 480, 320, 390, 320, 390, 320, 390, 320, 390, 480, 590, 480, 480, 390]"
ai music producer,390,"[10, 30, 20, 30, 40, 110, 170, 110, 140, 170, 210, 140, 90, 110, 90, 110, 110, 140, 170, 140, 170, 210, 210, 170, 170, 170, 170, 210, 210, 210, 210, 210, 210, 260, 320, 260, 260, 320, 320, 480, 480, 320, 320, 320, 320, 320, 320, 390]"
ai solutions engineer,390,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 20, 30, 30, 40, 30, 30, 30, 70, 90, 70, 50, 70, 90, 30, 70, 90, 140, 90, 50, 140, 170, 170, 210, 210, 210, 320, 320, 210, 260, 260, 260, 480, 480, 480, 480, 480, 590]"
ai data engineer,390,"[10, 10, 10, 10, 10, 10, 20, 30, 50, 50, 70, 70, 90, 70, 70, 70, 90, 50, 170, 140, 170, 170, 140, 140, 170, 170, 210, 210, 260, 210, 390, 320, 320, 390, 390, 390, 320, 320, 320, 390, 320, 260, 390, 390, 480, 480, 480, 480]"
ai infrastructure engineer,390,"[10, 10, 10, 10, 10, 10, 10, 20, 30, 10, 10, 10, 30, 30, 20, 30, 40, 40, 50, 50, 70, 40, 50, 40, 30, 50, 70, 110, 90, 90, 210, 140, 140, 170, 210, 170, 320, 260, 210, 260, 210, 260, 390, 590, 590, 590, 720, 590]"
ai business analyst,320,"[10, 20, 10, 30, 10, 20, 50, 50, 70, 110, 140, 110, 140, 140, 110, 140, 140, 110, 210, 210, 170, 210, 170, 170, 170, 170, 210, 210, 170, 210, 320, 260, 320, 260, 260, 260, 320, 320, 320, 320, 260, 210, 320, 320, 390, 320, 320, 320]"
ai operator,320,"[10, 20, 10, 10, 10, 10, 70, 50, 50, 70, 50, 90, 70, 90, 50, 70, 70, 70, 90, 50, 70, 70, 50, 50, 50, 70, 70, 70, 140, 170, 2900, 1900, 1000, 880, 880, 590, 480, 390, 210, 210, 320, 260, 260, 320, 320, 480, 320, 260]"
ai integration specialist,320,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 70, 50, 50, 40, 50, 40, 50, 70, 90, 90, 70, 70, 70, 70, 90, 90, 90, 90, 70, 140, 170, 140, 170, 320, 320, 390, 320, 320, 210, 210, 210, 210, 210, 590, 720, 390, 390, 320]"
ai visual artist,320,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 320, 3600, 20, 20, 10, 10, 10]"
ai marketing strategist,320,"[30, 30, 20, 30, 20, 30, 50, 50, 90, 70, 90, 90, 90, 110, 90, 140, 170, 110, 170, 170, 210, 260, 210, 210, 210, 210, 320, 320, 320, 320, 390, 480, 720, 590, 590, 480, 320, 320, 720, 320, 320, 320, 260, 260, 480, 320, 260, 170]"
ai philosopher,320,"[140, 140, 140, 140, 170, 260, 210, 170, 260, 390, 390, 260, 260, 210, 260, 320, 260, 260, 260, 260, 320, 320, 260, 260, 170, 210, 320, 320, 320, 260, 260, 260, 320, 390, 390, 260, 260, 260, 260, 320, 260, 260, 260, 320, 320, 320, 390, 320]"
ai advisor,320,"[30, 40, 30, 20, 30, 30, 50, 40, 140, 70, 90, 140, 90, 140, 110, 140, 140, 140, 140, 170, 140, 210, 170, 140, 170, 140, 140, 170, 210, 880, 480, 260, 320, 260, 320, 390, 260, 260, 260, 260, 260, 210, 260, 320, 390, 390, 320, 390]"
