Job Title,Category,Seniority Level,Domain Focus,Sources,Source Count,keyword
AI Evaluation Engineer,Evaluation & Safety,Senior,Benchmark & Output Testing,expanded;gemini,2,ai evaluation engineer
AI Evaluator,AI Training/Annotation,,,claude_web,1,ai evaluator
AI Evangelist,Developer Relations,Senior,Model Ecosystem Advocacy,gemini,1,ai evangelist
AI Evangelista,Developer Relations,,,claude_web,1,ai evangelista
AI Executive Coaching Coordinator,Coaching,,,claude_web,1,ai executive coaching coordinator
AI Executive Producer,Production,,,claude_web,1,ai executive producer
AI Executive Recruiter,Executive Search,,,claude_web,1,ai executive recruiter
AI Executive Sponsor Program Manager,Sponsorship,,,claude_web,1,ai executive sponsor program manager
AI Experiment Tracking Engineer,Experiment Management,,,claude_web,1,ai experiment tracking engineer
AI External Auditor,Auditing,,,claude_web,1,ai external auditor
AI Facilities Manager,Facilities,,,claude_web,1,ai facilities manager
AI Failover Specialist,Failover Systems,,,claude_web,1,ai failover specialist
AI Fairness Auditor,,,,expanded,1,ai fairness auditor
AI Fairness Engineer,Governance & Ethics,,,original,1,ai fairness engineer
AI Fairness Lead,,,,expanded,1,ai fairness lead
AI FAQ Manager,Documentation,,,claude_web,1,ai faq manager
AI Fault Tolerance Engineer,Fault Tolerance,,,claude_web,1,ai fault tolerance engineer
AI Feature Request Processor,Product Management,,,claude_web,1,ai feature request processor
AI Feedback Collection Coordinator,Feedback,,,claude_web,1,ai feedback collection coordinator
AI Feedback Manager,Feedback,,,claude_web,1,ai feedback manager
AI Fellowship Program Manager,Fellowship,,,claude_web,1,ai fellowship program manager
AI Film Editor,Film Editing,,,claude_web,1,ai film editor
AI Finance Committee Chair,Governance,,,claude_web,1,ai finance committee chair
AI Finance Manager,Finance,,,claude_web,1,ai finance manager
AI Financial Analyst,Finance & Fintech,Mid-Senior,Automated Financial Modeling,gemini,1,ai financial analyst
AI Fine-Tuning Engineer,,,,expanded,1,ai fine-tuning engineer
AI FinTech Risk Specialist,Finance & Fintech,Senior,Credit & Compliance Modeling,gemini,1,ai fintech risk specialist
AI Firewall Administrator,Security,,,claude_web,1,ai firewall administrator
AI Fitness Coach,Fitness,,,claude_web,1,ai fitness coach
AI Fleet Manager,Fleet Management,,,claude_web,1,ai fleet manager
AI Focus Group Coordinator,Market Research,,,claude_web,1,ai focus group coordinator
AI Foley Artist,Audio Production,,,claude_web,1,ai foley artist
AI for Social Good Program Manager,,,,expanded,1,ai for social good program manager
AI Forecasting Analyst,Forecasting,,,claude_web,1,ai forecasting analyst
AI Forensic Investigator,Forensics,,,claude_web,1,ai forensic investigator
AI Forensics Specialist,Cybersecurity,,,claude_web,1,ai forensics specialist
AI Foundation Relations Manager,Philanthropy,,,claude_web,1,ai foundation relations manager
AI Founder Coach,Startups,,,claude_web,1,ai founder coach
AI Framework Engineer,ML Frameworks,,,claude_web,1,ai framework engineer
AI Fraud Detection Analyst,Finance & Fintech,Mid-Senior,Risk & Anomaly Detection,gemini,1,ai fraud detection analyst
AI Freelance Coordinator,Freelance,,,claude_web,1,ai freelance coordinator
AI Frontend Developer,Frontend,,,claude_web,1,ai frontend developer
AI Frontend Engineer,,,,expanded,1,ai frontend engineer
AI Full Stack Developer,Full Stack,,,claude_web,1,ai full stack developer
AI Fundraising Manager,Fundraising,,,claude_web,1,ai fundraising manager
AI Gaffer,Cinematography,,,claude_web,1,ai gaffer
AI GCP Specialist,Cloud,,,claude_web,1,ai gcp specialist
AI Governance Administrator,Governance/Safety/Ethics,,,claude_web;expanded,2,ai governance administrator
AI Governance Advisor,Governance,,,claude_web,1,ai governance advisor
AI Governance and Compliance Manager,,,,expanded,1,ai governance and compliance manager
AI Governance and Risk Officer,,,,expanded,1,ai governance and risk officer
AI Governance and Risk Strategy Lead,,,,expanded,1,ai governance and risk strategy lead
AI Governance Lead,Governance & Ethics,Lead,Policy Enforcement,claude_web;expanded;gemini,3,ai governance lead
AI Governance Manager,Governance & Ethics,Manager,Framework Implementation,claude_web;expanded;gemini,3,ai governance manager
AI Governance Officer,Governance & Ethics,,,original,1,ai governance officer
AI Governance Project Manager,,,,expanded,1,ai governance project manager
AI Governance Specialist,,,,expanded,1,ai governance specialist
AI Governance Technology Lead,,,,expanded,1,ai governance technology lead
AI Graduate Recruiter,Recruiting,,,claude_web,1,ai graduate recruiter
AI Grant Manager,Grants,,,claude_web,1,ai grant manager
AI Grant Program Manager,Grants,,,claude_web,1,ai grant program manager
AI Grant Writer,Grant Writing,,,claude_web,1,ai grant writer
AI Graphic Designer,Design & Creative,Mid,Visual Media Synthesis,gemini,1,ai graphic designer
AI Green Computing Specialist,Green IT,,,claude_web,1,ai green computing specialist
AI Growth Partner,,,,expanded,1,ai growth partner
AI Hardware Architect,,,,expanded,1,ai hardware architect
AI Hardware Engineer,,,,expanded,1,ai hardware engineer
AI Health Check Engineer,Health Monitoring,,,claude_web,1,ai health check engineer
AI Healthcare Systems Consultant,Healthcare & Medicine,Senior,Hospital Workflow Optimization,gemini,1,ai healthcare systems consultant
AI Help Desk Manager,Support,,,claude_web,1,ai help desk manager
AI High Availability Engineer,High Availability,,,claude_web,1,ai high availability engineer
AI HR Specialist,Human Resources,,,claude_web,1,ai hr specialist
AI Hypervisor Specialist,Virtualization,,,claude_web,1,ai hypervisor specialist
AI Illustrator,Illustration,,,claude_web,1,ai illustrator
AI Impact Assessor,Impact Assessment,,,claude_web,1,ai impact assessor
AI Impact Report Coordinator,Impact Reporting,,,claude_web,1,ai impact report coordinator
AI Implementation Engineer,Specialized Technical,,,original,1,ai implementation engineer
AI Implementation Specialist,Implementation,,,claude_web;expanded,2,ai implementation specialist
AI Incident Analysis Specialist,Incident Analysis,,,claude_web,1,ai incident analysis specialist
AI Incident Commander,Incident Management,,,claude_web,1,ai incident commander
AI Incident Management Coordinator,Incident Management,,,claude_web,1,ai incident management coordinator
AI Incident Response Coordinator,Incident Response,,,claude_web,1,ai incident response coordinator
AI Incident Response Lead,Incident Response,,,claude_web,1,ai incident response lead
AI Inclusion Manager,Inclusion,,,claude_web,1,ai inclusion manager
AI Incubator Manager,Startup Incubation,,,claude_web,1,ai incubator manager
AI Inference Engineer,,,,expanded,1,ai inference engineer
AI Influencer Manager,Influencer,,,claude_web,1,ai influencer manager
AI Infra Architect,,,,expanded,1,ai infra architect
AI Infrastructure and Kubernetes Platform Engineer,,,,expanded,1,ai infrastructure and kubernetes platform engineer
AI Infrastructure Architect,Leadership & Strategy,,,claude_web;original,2,ai infrastructure architect
AI Infrastructure Engineer,Infrastructure & Operations,Senior,Compute & GPU Management,claude_web;gemini;original,3,ai infrastructure engineer
AI Infrastructure TPM,Product & Program Management,Senior,Compute Hardware Programs,gemini,1,ai infrastructure tpm
AI Innovation Manager,Strategy & Operations,Manager,Internal R&D Prototyping,claude_web;gemini,2,ai innovation manager
AI Instructional Designer,Instructional Design,,,claude_web,1,ai instructional designer
AI Instructor,,,,expanded,1,ai instructor
AI Insurance Agent,Insurance,,,claude_web,1,ai insurance agent
AI Insurance Broker,Insurance,,,claude_web,1,ai insurance broker
AI Insurance Manager,Insurance,,,claude_web,1,ai insurance manager
AI Intake Agent,,,,expanded,1,ai intake agent
AI Integration Consultant,Integration,,,claude_web,1,ai integration consultant
AI Integration Engineer,Core Technical Engineering,Mid-Senior,Enterprise System Integration,claude_web;expanded;gemini,3,ai integration engineer
AI Integration Specialist,Specialized Technical,,,claude_web;original,2,ai integration specialist
AI Intern Coordinator,Internship,,,claude_web,1,ai intern coordinator
AI Internal Auditor,Auditing,,,claude_web,1,ai internal auditor
AI Internal Communications Specialist,Internal Communications,,,claude_web,1,ai internal communications specialist
AI Interview Coach,Interview Coaching,,,claude_web,1,ai interview coach
AI Inventory Manager,Inventory,,,claude_web,1,ai inventory manager
AI Investment Analyst,Investment,,,claude_web,1,ai investment analyst
AI Investment Committee Chair,Governance,,,claude_web,1,ai investment committee chair
AI IP Manager,Networking,,,claude_web,1,ai ip manager
AI Issue Resolution Specialist,Issue Management,,,claude_web,1,ai issue resolution specialist
AI Job Coach,Job Coaching,,,claude_web,1,ai job coach
AI Journalist,Journalism,,,claude_web,1,ai journalist
AI Kanban Specialist,Agile,,,claude_web,1,ai kanban specialist
AI Key Grip,Cinematography,,,claude_web,1,ai key grip
AI Knowledge Base Manager,Knowledge Management,,,claude_web,1,ai knowledge base manager
AI Knowledge Engineer,Knowledge Systems,,,claude_web,1,ai knowledge engineer
AI Knowledge Management Engineer,Knowledge Management,,,claude_web,1,ai knowledge management engineer
AI Kubernetes Administrator,Containerization,,,claude_web,1,ai kubernetes administrator
AI Lab Director,Research,,,claude_web,1,ai lab director
AI Lab Head,,,,expanded,1,ai lab head
