Job Title,Category,Seniority Level,Domain Focus,Sources,Source Count
AI Cost Optimization Engineer,Cost Management,,,claude_web,1
AI Costume Designer,Costume Design,,,claude_web,1
AI Course Developer,Course Development,,,claude_web,1
AI Craft Services Manager,Catering,,,claude_web,1
AI Creative Director,Design & Creative,Director,Generative Branding & Media,claude_web;gemini,2
AI Creative Strategist,,,,expanded,1
AI Crisis Communications Manager,Communications,,,claude_web,1
AI Crisis Manager,Crisis Management,,,claude_web,1
AI CTO/Chief Technology Officer AI,Executive,,,claude_web,1
AI Curriculum Designer,Curriculum Design,,,claude_web,1
AI Curriculum Developer,,,,expanded,1
AI Customer Experience Manager,Customer Experience,,,claude_web,1
AI Customer Experience Strategist,,,,expanded,1
AI Customer Service Manager,Customer Service,,,claude_web,1
AI Customer Success Engineer,Customer Success,,,claude_web,1
AI Customer Success Manager,,,,expanded,1
AI Data Analyst,Data-Related,,,claude_web;original,2
AI Data Architect,Data,,,claude_web,1
AI Data Engineer,,,,expanded,1
AI Data Lineage Engineer,Data Lineage,,,claude_web,1
AI Data Pipeline Engineer,Data Engineering,,,claude_web,1
AI Data Protection Officer,Data Protection,,,claude_web,1
AI Data Specialist,AI Training/Annotation,,,claude_web;expanded,2
AI Database Administrator,Databases,,,claude_web,1
AI Debugger Engineer,Debugging Tools,,,claude_web,1
AI Decommissioning Manager,Decommissioning,,,claude_web,1
AI Delivery Engineer,Core Technical Engineering,Senior,End-to-End Solution Shipping,gemini,1
AI Delivery Lead,,,,expanded,1
AI Delivery Manager,Delivery,,,claude_web;expanded,2
AI Deployment Manager,Deployment,,,claude_web,1
AI Deployment Specialist,Deployment,,,claude_web,1
AI Developer,Core AI/ML Engineering,,,claude_web;expanded,2
AI Developer Advocate,Developer Relations,Mid-Senior,Community & SDK Enablement,claude_web;expanded;gemini,3
AI Development Tools Engineer,Development Tools,,,claude_web,1
AI DevOps Engineer,DevOps,,,claude_web,1
AI Diagnostics Engineer,Diagnostics,,,claude_web,1
AI Digital Forensics Specialist,Digital Forensics,,,claude_web,1
AI Director,Film/Video Direction,,,claude_web,1
AI Disaster Recovery Manager,DR,,,claude_web,1
AI Disaster Recovery Specialist,Disaster Recovery,,,claude_web,1
AI Disclosure Officer,Transparency,,,claude_web,1
AI Diversity Coordinator,Diversity,,,claude_web,1
AI Diversity Fellowship Coordinator,Diversity,,,claude_web,1
AI DNS Administrator,Networking,,,claude_web,1
AI Docker Specialist,Containerization,,,claude_web,1
AI Documentation Engineer,Technical Writing,,,claude_web,1
AI Documentation Specialist,Support Roles,,,claude_web;original,2
AI Dolly Grip,Cinematography,,,claude_web,1
AI Donor Relations Manager,Development,,,claude_web,1
AI Donor Stewardship Manager,Donor Relations,,,claude_web,1
AI Drug Discovery Scientist,,,,expanded,1
AI E-Waste Manager,Sustainability,,,claude_web,1
AI Early Access Program Manager,Early Access,,,claude_web,1
AI Editorial Manager,Editorial,,,claude_web,1
AI Educational Content Creator,Educational Content,,,claude_web,1
AI Educator,Education,,,claude_web,1
AI Enablement & Literacy Lead,Product/Strategy,,,claude_web,1
AI Enablement and Adoption Manager,,,,expanded,1
AI Enablement Lead,,,,expanded,1
AI Endowment Manager,Finance,,,claude_web,1
AI Endpoint Security Manager,Endpoint Security,,,claude_web,1
AI Energy Efficiency Auditor,Energy Management,,,claude_web,1
AI Engineer,Core Technical Engineering,Mid-Senior,API & Product Integration,claude_web;gemini;original,3
AI Engineering Manager,Executive & Strategy,Manager,Technical Team Leadership,expanded;gemini,2
AI Enterprise Applications Specialist,,,,expanded,1
AI Enterprise Architect,Enterprise Architecture,,,claude_web,1
AI Entrepreneur,Specialized Roles,,,original,1
AI Environmental Impact Specialist,Environmental,,,claude_web,1
AI Equipment Health Manager,Asset Management,,,claude_web,1
AI Equity Specialist,Equity,,,claude_web,1
AI Ethicist,Governance & Ethics,Mid-Senior,Ethical Alignment,claude_web;gemini;original,3
AI Ethics & Compliance Officer,,,,expanded,1
AI Ethics & Governance Specialist,Governance & Ethics,,,original,1
AI Ethics Advisor,Ethics,,,claude_web,1
AI Ethics and Compliance Officer,Governance/Safety/Ethics,,,claude_web,1
AI Ethics Board Member,Ethics,,,claude_web,1
AI Ethics Officer,Governance & Ethics,,,claude_web;original,2
AI Ethics Program Manager,,,,expanded,1
AI Ethics Researcher,Governance & Ethics,Senior,Ethical Framework Development,expanded;gemini,2
AI Ethics Specialist,Governance & Ethics,,,original,1
AI Evals Engineer,,,,expanded,1
AI Evaluation Engineer,Evaluation & Safety,Senior,Benchmark & Output Testing,expanded;gemini,2
AI Evaluator,AI Training/Annotation,,,claude_web,1
AI Evangelist,Developer Relations,Senior,Model Ecosystem Advocacy,gemini,1
AI Evangelista,Developer Relations,,,claude_web,1
AI Executive Coaching Coordinator,Coaching,,,claude_web,1
AI Executive Producer,Production,,,claude_web,1
AI Executive Recruiter,Executive Search,,,claude_web,1
AI Executive Sponsor Program Manager,Sponsorship,,,claude_web,1
AI Experiment Tracking Engineer,Experiment Management,,,claude_web,1
AI External Auditor,Auditing,,,claude_web,1
AI Facilities Manager,Facilities,,,claude_web,1
AI Failover Specialist,Failover Systems,,,claude_web,1
AI Fairness Auditor,,,,expanded,1
AI Fairness Engineer,Governance & Ethics,,,original,1
AI Fairness Lead,,,,expanded,1
AI FAQ Manager,Documentation,,,claude_web,1
AI Fault Tolerance Engineer,Fault Tolerance,,,claude_web,1
AI Feature Request Processor,Product Management,,,claude_web,1
AI Feedback Collection Coordinator,Feedback,,,claude_web,1
AI Feedback Manager,Feedback,,,claude_web,1
AI Fellowship Program Manager,Fellowship,,,claude_web,1
AI Film Editor,Film Editing,,,claude_web,1
AI Finance Committee Chair,Governance,,,claude_web,1
AI Finance Manager,Finance,,,claude_web,1
AI Financial Analyst,Finance & Fintech,Mid-Senior,Automated Financial Modeling,gemini,1
AI Fine-Tuning Engineer,,,,expanded,1
AI FinTech Risk Specialist,Finance & Fintech,Senior,Credit & Compliance Modeling,gemini,1
AI Firewall Administrator,Security,,,claude_web,1
AI Fitness Coach,Fitness,,,claude_web,1
AI Fleet Manager,Fleet Management,,,claude_web,1
AI Focus Group Coordinator,Market Research,,,claude_web,1
AI Foley Artist,Audio Production,,,claude_web,1
AI for Social Good Program Manager,,,,expanded,1
AI Forecasting Analyst,Forecasting,,,claude_web,1
AI Forensic Investigator,Forensics,,,claude_web,1
AI Forensics Specialist,Cybersecurity,,,claude_web,1
AI Foundation Relations Manager,Philanthropy,,,claude_web,1
AI Founder Coach,Startups,,,claude_web,1
AI Framework Engineer,ML Frameworks,,,claude_web,1
AI Fraud Detection Analyst,Finance & Fintech,Mid-Senior,Risk & Anomaly Detection,gemini,1
AI Freelance Coordinator,Freelance,,,claude_web,1
AI Frontend Developer,Frontend,,,claude_web,1
AI Frontend Engineer,,,,expanded,1
AI Full Stack Developer,Full Stack,,,claude_web,1
AI Fundraising Manager,Fundraising,,,claude_web,1
AI Gaffer,Cinematography,,,claude_web,1
AI GCP Specialist,Cloud,,,claude_web,1
AI Governance Administrator,Governance/Safety/Ethics,,,claude_web;expanded,2
AI Governance Advisor,Governance,,,claude_web,1
AI Governance and Compliance Manager,,,,expanded,1
AI Governance and Risk Officer,,,,expanded,1
AI Governance and Risk Strategy Lead,,,,expanded,1
AI Governance Lead,Governance & Ethics,Lead,Policy Enforcement,claude_web;expanded;gemini,3
AI Governance Manager,Governance & Ethics,Manager,Framework Implementation,claude_web;expanded;gemini,3
AI Governance Officer,Governance & Ethics,,,original,1
AI Governance Project Manager,,,,expanded,1
AI Governance Specialist,,,,expanded,1
AI Governance Technology Lead,,,,expanded,1
AI Graduate Recruiter,Recruiting,,,claude_web,1
AI Grant Manager,Grants,,,claude_web,1
AI Grant Program Manager,Grants,,,claude_web,1
AI Grant Writer,Grant Writing,,,claude_web,1
AI Graphic Designer,Design & Creative,Mid,Visual Media Synthesis,gemini,1
AI Green Computing Specialist,Green IT,,,claude_web,1
AI Growth Partner,,,,expanded,1
AI Hardware Architect,,,,expanded,1
AI Hardware Engineer,,,,expanded,1
AI Health Check Engineer,Health Monitoring,,,claude_web,1
AI Healthcare Systems Consultant,Healthcare & Medicine,Senior,Hospital Workflow Optimization,gemini,1
AI Help Desk Manager,Support,,,claude_web,1
AI High Availability Engineer,High Availability,,,claude_web,1
AI HR Specialist,Human Resources,,,claude_web,1
AI Hypervisor Specialist,Virtualization,,,claude_web,1
AI Illustrator,Illustration,,,claude_web,1
AI Impact Assessor,Impact Assessment,,,claude_web,1
AI Impact Report Coordinator,Impact Reporting,,,claude_web,1
AI Implementation Engineer,Specialized Technical,,,original,1
AI Implementation Specialist,Implementation,,,claude_web;expanded,2
AI Incident Analysis Specialist,Incident Analysis,,,claude_web,1
AI Incident Commander,Incident Management,,,claude_web,1
AI Incident Management Coordinator,Incident Management,,,claude_web,1
AI Incident Response Coordinator,Incident Response,,,claude_web,1
AI Incident Response Lead,Incident Response,,,claude_web,1
AI Inclusion Manager,Inclusion,,,claude_web,1
AI Incubator Manager,Startup Incubation,,,claude_web,1
AI Inference Engineer,,,,expanded,1
AI Influencer Manager,Influencer,,,claude_web,1
AI Infra Architect,,,,expanded,1
AI Infrastructure and Kubernetes Platform Engineer,,,,expanded,1
AI Infrastructure Architect,Leadership & Strategy,,,claude_web;original,2
AI Infrastructure Engineer,Infrastructure & Operations,Senior,Compute & GPU Management,claude_web;gemini;original,3
AI Infrastructure TPM,Product & Program Management,Senior,Compute Hardware Programs,gemini,1
AI Innovation Manager,Strategy & Operations,Manager,Internal R&D Prototyping,claude_web;gemini,2
AI Instructional Designer,Instructional Design,,,claude_web,1
AI Instructor,,,,expanded,1
AI Insurance Agent,Insurance,,,claude_web,1
AI Insurance Broker,Insurance,,,claude_web,1
AI Insurance Manager,Insurance,,,claude_web,1
AI Intake Agent,,,,expanded,1
AI Integration Consultant,Integration,,,claude_web,1
AI Integration Engineer,Core Technical Engineering,Mid-Senior,Enterprise System Integration,claude_web;expanded;gemini,3
AI Integration Specialist,Specialized Technical,,,claude_web;original,2
AI Intern Coordinator,Internship,,,claude_web,1
AI Internal Auditor,Auditing,,,claude_web,1
AI Internal Communications Specialist,Internal Communications,,,claude_web,1
AI Interview Coach,Interview Coaching,,,claude_web,1
AI Inventory Manager,Inventory,,,claude_web,1
AI Investment Analyst,Investment,,,claude_web,1
AI Investment Committee Chair,Governance,,,claude_web,1
AI IP Manager,Networking,,,claude_web,1
AI Issue Resolution Specialist,Issue Management,,,claude_web,1
AI Job Coach,Job Coaching,,,claude_web,1
AI Journalist,Journalism,,,claude_web,1
AI Kanban Specialist,Agile,,,claude_web,1
AI Key Grip,Cinematography,,,claude_web,1
AI Knowledge Base Manager,Knowledge Management,,,claude_web,1
AI Knowledge Engineer,Knowledge Systems,,,claude_web,1
AI Knowledge Management Engineer,Knowledge Management,,,claude_web,1
AI Kubernetes Administrator,Containerization,,,claude_web,1
AI Lab Director,Research,,,claude_web,1
AI Lab Head,,,,expanded,1
AI Landing Page Specialist,Web Design,,,claude_web,1
AI Lawyer,Legal & Professional,Senior,Legal Research Automation,expanded;gemini,2
AI Lead,,,,expanded,1
AI Leadership Development Program Manager,Leadership,,,claude_web,1
AI Lean Specialist,Lean Management,,,claude_web,1
AI Learning Coordinator,Organizational Learning,,,claude_web,1
AI Learning Specialist,Learning & Development,,,claude_web,1
AI Lease Manager,Leasing,,,claude_web,1
AI Legal Consultant,Legal & Professional,Senior,Regulatory Compliance Advice,gemini,1
AI Legal Counsel,Legal,,,claude_web;expanded,2
AI Legal Educator,,,,expanded,1
AI LGBTQ+ in AI Coordinator,Diversity,,,claude_web,1
AI Library Developer,Software Libraries,,,claude_web,1
AI Licensing Manager,Licensing,,,claude_web,1
AI Life Coach,Coaching,,,claude_web,1
AI Lifecycle Management Coordinator,Lifecycle,,,claude_web,1
AI Lighting Technician,Lighting,,,claude_web,1
AI Literacy Lead,,,,expanded,1
AI Load Balancer Administrator,Infrastructure,,,claude_web,1
AI Load Balancing Engineer,Infrastructure,,,claude_web,1
AI Localization Engineer,Localization,,,claude_web,1
AI Location Manager,Locations,,,claude_web,1
AI Log Analysis Specialist,Log Analysis,,,claude_web,1
AI Logging Engineer,Logging,,,claude_web,1
AI Logistics Manager,Logistics,,,claude_web,1
AI Maintenance Optimization Engineer,Maintenance,,,claude_web,1
AI Major Gifts Officer,Fundraising,,,claude_web,1
AI Makeup Artist,Makeup,,,claude_web,1
AI Manager,,,,expanded,1
AI Market Research Analyst,Emerging Roles,,,original,1
AI Market Researcher,Market Research,,,claude_web,1
AI Marketing Analyst,Creative,,,claude_web,1
AI Marketing Manager,Creative,,,claude_web,1
AI Marketing Specialist,Creative,,,claude_web,1
AI Marketing Strategist,Creative,,,claude_web,1
AI Mastering Engineer,Audio Engineering,,,claude_web,1
AI Medical Imaging Specialist,Healthcare & Medicine,Senior,Radiology & Diagnostics AI,gemini,1
AI Mentorship Coordinator,Mentorship,,,claude_web,1
AI Mentorship Program Manager,Mentorship,,,claude_web,1
AI Metering Specialist,Metering,,,claude_web,1
AI Migration Specialist,Migration,,,claude_web,1
AI Minority in AI Coordinator,Diversity,,,claude_web,1
AI Mixing Engineer,Audio Engineering,,,claude_web,1
AI ML Delivery Lead,,,,expanded,1
AI ML Systems Engineer,,,,expanded,1
AI Mobile Security Specialist,Mobile Security,,,claude_web,1
AI Model Evaluator,Data & Human Alignment,Entry-Mid,RLHF & Response Ranking,gemini,1
AI Model Lifecycle Manager,Model Management,,,claude_web,1
AI Model Registry Engineer,Model Management,,,claude_web,1
AI Model Validator,Governance/Safety/Ethics,,,claude_web,1
AI Moderator,,,,expanded,1
AI Monitoring Engineer,Monitoring/Observability,,,claude_web,1
AI Motion Graphics Designer,Motion Graphics,,,claude_web,1
AI Multivariate Testing Specialist,Testing,,,claude_web,1
AI Music Producer,Music Production,,,claude_web,1
AI Network Administrator,Networking,,,claude_web,1
AI Network Architect,Network Architecture,,,claude_web,1
AI Network Engineer,Networking,,,claude_web,1
AI Network Security Engineer,Network Security,,,claude_web,1
AI Newsletter Editor,Content,,,claude_web,1
AI Nominating Committee Chair,Governance,,,claude_web,1
AI Non-Profit Partnership Manager,Non-Profit,,,claude_web,1
AI Nurse,,,,expanded,1
AI Nursing Informatics Specialist,,,,expanded,1
AI Nursing Specialist,Healthcare & Medicine,Mid-Senior,Patient Care Workflow AI,gemini,1
AI Nutritionist Consultant,Nutrition,,,claude_web,1
AI Observability Engineer,Monitoring/Observability,,,claude_web,1
AI Occupational Health Specialist,Health & Safety,,,claude_web,1
AI Operations Analyst,,,,expanded,1
AI Operations Manager,Operations & Support,Manager,Infrastructure & Workflow Execution,claude_web;gemini;original,3
AI Operator,Operations & Support,Entry-Mid,Computer-Use Automation,gemini,1
AI Ops Engineer,MLOps/Infrastructure,,,claude_web;expanded,2
AI Ops Lead,,,,expanded,1
AI Optimization Engineer,Performance,,,claude_web,1
AI Oversight Committee Chair,Governance,,,claude_web,1
AI Oversight Committee Member,Oversight,,,claude_web,1
AI Partner Manager,Partnerships,,,claude_web;expanded,2
AI Partnership Manager,Partnerships,,,claude_web,1
AI Patch Management Specialist,Patching,,,claude_web,1
AI Patent Attorney,Legal & Professional,Senior,Intellectual Property & Patents,gemini,1
AI Patent Specialist,Intellectual Property,,,claude_web,1
AI Payroll Manager,Payroll,,,claude_web,1
AI Peer Mentoring Coordinator,Mentorship,,,claude_web,1
AI Penetration Tester,Security,,,claude_web,1
AI Pension Specialist,Pensions,,,claude_web,1
AI Perception Algorithm Engineer,,,,expanded,1
AI Performance Analyst,Quality & Testing,,,claude_web;original,2
AI Performance Auditor,Auditing,,,claude_web,1
AI Performance Engineer,Quality & Testing,,,claude_web;original,2
AI Person with Disabilities in AI Coordinator,Accessibility,,,claude_web,1
AI Personalization Analyst,,,,expanded,1
AI Personalization Manager,Creative,,,claude_web,1
AI Philosopher,Governance & Ethics,Senior,Human Value Alignment,gemini,1
AI Phishing Awareness Coordinator,Security Awareness,,,claude_web,1
AI Photo Editor,Photo Editing,,,claude_web,1
AI Photographer,Photography,,,claude_web,1
AI Pilot Program Manager,Pilots,,,claude_web,1
AI Planned Giving Officer,Fundraising,,,claude_web,1
AI Platform Engineer,Infrastructure & Operations,Senior,Internal Developer Platforms,claude_web;gemini;original,3
AI Platform Lead,MLOps/Infrastructure,,,claude_web,1
AI Platform Leader,,,,expanded,1
AI Platform Product Manager,,,,expanded,1
AI Podcast Audio Engineer,Audio Engineering,,,claude_web,1
AI Podcast Producer,Podcasting,,,claude_web,1
AI Podcaster,Podcasting,,,claude_web,1
AI Policy Analyst,Governance & Ethics,Mid-Senior,Regulatory Compliance,claude_web;expanded;gemini,3
AI Policy Director,Governance & Ethics,Director,Public Policy & Regulation,gemini,1
AI Policy Manager,Policy,,,claude_web;expanded,2
AI Portfolio Manager,,,,expanded,1
AI Post-Mortem Coordinator,Post-Incident Review,,,claude_web,1
AI Practice Delivery Lead,,,,expanded,1
AI Practice Lead,,,,expanded,1
AI Pre-Sales Consultant,Pre-Sales,,,claude_web,1
AI Predictive Maintenance Specialist,Predictive Maintenance,,,claude_web,1
AI Press Officer,Media Relations,,,claude_web,1
AI Preventive Maintenance Coordinator,Maintenance,,,claude_web,1
AI Privacy Engineer,Governance/Safety/Ethics,,,claude_web;expanded,2
AI Privacy Officer,Privacy,,,claude_web,1
AI Procedure Developer,Procedures,,,claude_web,1
AI Process Improvement Specialist,Process Improvement,,,claude_web,1
AI Procurement Manager,Procurement,,,claude_web,1
AI Procurement Specialist,Procurement,,,claude_web,1
AI Producer,Production,,,claude_web,1
AI Product Analyst,Emerging Roles,,,original,1
AI Product Designer,,,,expanded,1
AI Product Engineer,,,,expanded,1
