Title,Category,Companies/Sources,Notes
Red Teaming Lead Responsibility,Red Teaming and Evaluations,Google DeepMind,"Covers CBRNe and Cyber"
Security Lead Agentic Red Team,Red Teaming and Evaluations,Google DeepMind,Focused on closing the agentic launch gap
Senior Security Engineer Agentic Red Team,Red Teaming and Evaluations,Google DeepMind,Multi-turn attacks on production models
Model Evaluation Engineer,Red Teaming and Evaluations,Scale AI,Automated evaluation pipelines and LLM-judge pipelines
Evals Engineer,Red Teaming and Evaluations,Widespread,Also called Evaluator; designs test harnesses
Lead Cyber Security Evaluation Expert,Red Teaming and Evaluations,Scale AI,Cyber Test and Evaluation adversarial testing
Technical Program Manager Adversarial Model Research,Red Teaming and Evaluations,OpenAI,
SEAL Research Scientist,Red Teaming and Evaluations,Scale AI,Safety Evaluations and Alignment Lab
Engineering Manager Safety and Evaluation,Red Teaming and Evaluations,Scale AI,GenAI focused
Safeguards Enforcement Analyst,Trust and Safety,Anthropic,"Sub-specialties include Bio Harms, Cyber Harm, Child Safety, Fraud and Scams, Violence and Extremism"
Technical CBRN-E Threat Investigator,Trust and Safety,Anthropic,
Technical Cyber Threat Investigator,Trust and Safety,Anthropic,
Threat Intelligence Engineer,Trust and Safety,Anthropic,
Threat Intel Manager,Trust and Safety,Anthropic,Model Exploitation Fraud and Influence Operations
Technical Threat Investigator,Trust and Safety,OpenAI,Threat Intel Engineering team
Technical Influence Operations Threat Investigator,Trust and Safety,Anthropic,
Cybersecurity Landscape Analyst,Trust and Safety,OpenAI,Stress tests assumptions on misuse of frontier capabilities
Abuse Investigator,Trust and Safety,OpenAI,
Offensive Hardware Security Engineer,Trust and Safety,Anthropic,Platform Security team
RLHF Rater,Data and Human Feedback,"DataAnnotation, Prolific, Handshake",Also called AI Rater
RLHF Rater Lead,Data and Human Feedback,Annotation vendors,
Data Annotation Specialist,Data and Human Feedback,"Scale AI, vendors",
Data Labeling Specialist,Data and Human Feedback,"AI labs, AV companies, medical AI",
Model Behavior Tutor,Data and Human Feedback,xAI,Wit and Conversation team; roughly 50 to 70 dollars per hour
Human Data Manager,Data and Human Feedback,xAI,Mentors a team of tutors
Data Operations Manager Human Data,Data and Human Feedback,Anthropic,
Software Engineer Human Data Interface,Data and Human Feedback,Anthropic,
Product Management Human Data Platform,Data and Human Feedback,Anthropic,
Domain Expert,Data and Human Feedback,Prolific and vendors,Paid model training participant
Image Specialist,Data and Human Feedback,xAI,Trains visual generation
Video Specialist,Data and Human Feedback,xAI,Trains video capability
STEM Specialist,Data and Human Feedback,xAI,Domain tutor role
Annotation Project Manager,Data and Human Feedback,Annotation vendors,Also called Data Operations Lead
Data Curator,Data and Human Feedback,"AI labs, annotation pipelines",
Reward Model Engineer,Data and Human Feedback,Implied by RLHF pipelines,Trains reward models
Vision-Language-Action Researcher,Robotics and Multimodal,"Google DeepMind, NVIDIA, Physical Intelligence",Also called VLA Engineer
Embodied Intelligence Researcher,Robotics and Multimodal,Robotics labs,Perceives reasons and acts through physical interaction
Foundation Model Researcher Robotics,Robotics and Multimodal,"Midea, NVIDIA, others",
Perception Engineer,Robotics and Multimodal,AV and robotics companies,
Multimodal Research Scientist,Robotics and Multimodal,Meta FAIR,
Computer Vision Research Scientist,Robotics and Multimodal,Widespread frontier and AV,
Natural Language Processing Researcher,Robotics and Multimodal,Widespread,Also called NLP Scientist
Responsible Scaling Officer,Policy and Governance,Anthropic,Governs frontier risk under the Responsible Scaling Policy
Technical Policy Researcher Model Behaviour,Policy and Governance,TikTok,Model bias political risk and model behaviour
Model Policy,Policy and Governance,OpenAI,"Covers Frontier Cyber Risk, Chemical and Biological Risk"
Research Economist,Policy and Governance,Anthropic,Also called Transformative AI Research Economist
Responsible Innovation Lead,Policy and Governance,Tech companies,Ethics and governance
Trust and Safety Analyst,Policy and Governance,Widespread,Model risk review
Governance Analyst,Policy and Governance,"Enterprises, labs",Also called Model Risk Analyst
