Job Title,Primary Functional Category,Seniority Level,Domain Focus
FinTech AI Developer,Finance & Fintech,Mid-Senior,Banking API & Model Integration
AI FinTech Risk Specialist,Finance & Fintech,Senior,Credit & Compliance Modeling
AI Quantitative Analyst,Finance & Fintech,Senior,Algorithmic Finance Models
AI Risk Modeler - Banking,Finance & Fintech,Senior,Credit Risk & Compliance
AI Lawyer,Legal & Professional,Senior,Legal Research Automation
Legal AI Prompt Specialist,Legal & Professional,Mid,Contract Analysis & Drafting
AI Patent Attorney,Legal & Professional,Senior,Intellectual Property & Patents
AI Legal Consultant,Legal & Professional,Senior,Regulatory Compliance Advice
AI Technical Recruiter,Human Resources,Mid,Talent Acquisition
AI Talent Acquisition Specialist,Human Resources,Mid-Senior,Executive Sourcing
AI Innovation Manager,Strategy & Operations,Manager,Internal R&D Prototyping
AI Developer Advocate,Developer Relations,Mid-Senior,Community & SDK Enablement
AI Technical Writer,Communications,Mid,Model Documentation & API Guides
AI Evangelist,Developer Relations,Senior,Model Ecosystem Advocacy
Speech Scientist - AI,Research & Foundational Science,Senior,Voice Models & Synthesis
Robotic Software R&D Engineer - AI,Core Technical Engineering,Senior,Autonomous Hardware
Data Scientist - AI Specialization,Data & Analytics,Mid-Senior,Predictive Analytics
Infosec Data Scientist - AI Infrastructure,Evaluation & Safety,Senior,Security Analytics
AI Engineering Manager,Executive & Strategy,Manager,Technical Team Leadership
Artificial Intelligence Specialist,Core Technical Engineering,Mid-Senior,Domain Implementation
Artificial Intelligence Consultant,Strategy & Operations,Senior,Enterprise Solutions
Artificial Intelligence Developer,Core Technical Engineering,Mid,Application Engineering
Artificial Intelligence Strategy Consultant,Strategy & Operations,Senior,Corporate Roadmaps
Artificial Intelligence Operations Lead,Infrastructure & Operations,Lead,Production Workflows
AI Integration Engineer,Core Technical Engineering,Mid-Senior,Enterprise System Integration
AI Cloud Architect,Architecture & Design,Senior,Cloud Compute Infrastructure
AI Operations Manager,Operations & Support,Manager,Infrastructure & Workflow Execution
AI Transformation Lead,Executive & Strategy,Director,Organizational Change Management
VP of AI Engineering,Executive & Strategy,Executive,Engineering Leadership
Head of AI Research,Executive & Strategy,Director,Research Vision & Execution
